m.0661m4p	Men in Black 3	m.01qg7c	Barry Sonnenfeld	film.film.starring..film.performance.actor,film.film.directed_by
m.0bh8tgs	Battleship	m.064jjy	Peter Berg	film.film.produced_by,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.directed_by
m.0421x6d	Confessions of a Shopaholic	m.024n1g	P. J. Hogan	film.film.directed_by
m.07024	Saving Private Ryan	m.06pj8	Steven Spielberg	award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,award.award_winning_work.awards_won..award.award_honor.award_winner,film.film.produced_by,film.film.directed_by
m.03cw411	The Reader	m.02mdfr	Stephen Daldry	award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.directed_by,award.award_winning_work.awards_won..award.award_honor.award_winner
m.0h95927	Silver Linings Playbook	m.06m6z6	David O. Russell	film.film.written_by,award.award_winning_work.awards_won..award.award_honor.award_winner,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.directed_by
m.0ch26b_	Hugo	m.04sry	Martin Scorsese	film.film.starring..film.performance.actor,film.film.produced_by,award.award_winning_work.awards_won..award.award_honor.award_winner,film.film.directed_by,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee
m.011yqc	L.A. Confidential	m.0184jw	Curtis Hanson	film.film.produced_by,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.directed_by,award.award_winning_work.awards_won..award.award_honor.award_winner,film.film.written_by
m.07pd_j	American Pie	m.034bgm	Chris Weitz	film.film.directed_by,film.film.produced_by,film.film.starring..film.performance.actor
m.0ds2n	Independence Day	m.032v0v	Roland Emmerich	film.film.directed_by,film.film.written_by,award.award_winning_work.awards_won..award.award_honor.award_winner,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.executive_produced_by
m.0cc5mcj	Cowboys & Aliens	m.01twdk	Jon Favreau	film.film.directed_by,film.film.executive_produced_by
m.0ddt_	Star Wars Episode I: The Phantom Menace	m.0343h	George Lucas	film.film.written_by,film.film.executive_produced_by,award.award_winning_work.awards_won..award.award_honor.award_winner,film.film.directed_by,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee
m.0dtfn	Star Wars Episode IV: A New Hope	m.0343h	George Lucas	award.award_winning_work.awards_won..award.award_honor.award_winner,film.film.edited_by,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.directed_by,film.film.written_by,film.film.executive_produced_by,film.film.story_by
m.042zrm	Friday Night Lights	m.064jjy	Peter Berg	film.film.directed_by,film.film.written_by
m.0dgpwnk	This Must Be the Place	m.0267x9y	Paolo Sorrentino	film.film.written_by,film.film.directed_by,award.award_winning_work.awards_won..award.award_honor.award_winner,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.story_by
m.026qnh6	Australia	m.013tcv	Baz Luhrmann	film.film.story_by,film.film.produced_by,award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.directed_by,film.film.written_by,award.award_winning_work.awards_won..award.award_honor.award_winner
m.01cycq	Starship Troopers	m.0hj15	Paul Verhoeven	film.film.directed_by
m.05hjnw	Brokeback Mountain	m.0h1p	Ang Lee	award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,award.award_winning_work.awards_won..award.award_honor.award_winner,film.film.directed_by
m.047d21r	The Fighter	m.06m6z6	David O. Russell	award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.directed_by
m.05qbckf	Iron Man 2	m.01twdk	Jon Favreau	film.film.starring..film.performance.actor,film.film.executive_produced_by,film.film.directed_by,film.film.written_by
m.05zvzf3	A Prophet	m.0bthqb	Jacques Audiard	award.award_nominated_work.award_nominations..award.award_nomination.award_nominee,film.film.written_by,film.film.directed_by,award.award_winning_work.awards_won..award.award_honor.award_winner
